station_code,station_name,station_type,state_name,district_name,block_name,basin_name,sub_basin_name,agency_name,date_collection,_24d,_401,SILVER(mg/L),ALUMINIUM,ALDRIN,"ALKALINITY,PHENOLPHTHALEIN(mg/L)",TOTAL ALKALINITY,ARSENIC(mg/l),BORON(mg/L),BARIUM,GAMMA-BHC(BENZENE HEXACHLORIDE),BIOCHEMICAL OXYGEN DEMAND(mg/L),CALCIUM(mg/L),CARBON(14),CADMIUM,CHLOROPHY11-a,CHLORIDE,CYANIDE,CARBONATE(mg/L),FECAL STREPTOCOCCI(MPN/100ml),CHEMICAL OXYGEN DEMAND,COLOUR,CHROMIUM(mg/L),COPPER,DDT,DIELDRIN,DISSOLVED OXYGEN(mg/L),DISSOLVED OXYGEN(mg/L),ALKALINITY(TOTAL),DISSOLVED OXYGEN SATURATION(%),ELECTRICAL CINDUCTIVITY FIELD,ELECTRICAL CONDUCTIVITY(µS/CM) at 25°,ENDOSULPHAN,FLUORIDE,FECAL COLIFORMS(mpn/100ml),IRON(mg/L),CALCIUM HARDNESS(mg/L),TOTAL HARDNESS(mg/L),BICARBONATE(mg/L),MERCURY(mg/L),POTASSIUM(mg/L),MAGNESIUM(mg/L),MANGANESE(mg/L),SODIUM,PERCENT SODIUM,AMMONIA-N(mg/L),NICKEL(mg/L),"NITROGEN,NITRITE","NITROGEN, TOTAL OXIDISED(NO2+NO3)",no3_n,ODOUR,o_po4_p,"NITROGEN,ORGANIC",OXYGEN(18),FLUORANTHENE,LEAD(mg/L),PCB-1242,PH,TOTAL PHENOLS,PH_FIELD,PH,PHOSPHORUS(TOTAL),RADON,RESIDUAL SODIUM CARBONATE,SODIUM ABSORPTION RATIO,SELENIUM(mg/L),SECCHI DEPTH,SILICATE(sio2)(mg/L),SILICATE(sio3),SULPHATE(mg/L),"SOLIDS,SUSPENDED",STRONTIUM,TOTAL COLIFORNS(MPN/100ml),TOTAL DISSOLVED SOLIDS(mg/L),TEMPERATURE,TEST,TOTAL ORGANIC CARBON,TRITIUM,SOLIDS(TOTAL),TURBIDITY(NTU),URANIUM,ZINC(mg/L),"NITROGEN,NITRITE",CALCIUM CARBONATE,MAGNESIUM CARBONATE,BIOCHEMICAL OXYGEN DEAMND,MAGNESIUM HARDNESS
003-LYDAGRa,DHOLPUR,Surface Water,Rajasthan,DHOLPUR,DHOLPUR,Ganga Basin,Chambal Lower,CWC,01-07-1989 00:00,NULL,NULL,NULL,0,NULL,12.95,143.5,NULL,0.06,NULL,NULL,18,32.8,NULL,NULL,NULL,31.95,NULL,15.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.3,NULL,NULL,789,NULL,0.57,NULL,0,NULL,157.94,143.35,NULL,3.91,18.23,NULL,46,38.2,0,NULL,NULL,0.0138,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.42,NULL,NULL,0,1.6,NULL,82,13.8,NULL,61.92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.01,NULL,NULL,NULL,NULL
003-LYDAGRa,DHOLPUR,Surface Water,Rajasthan,DHOLPUR,DHOLPUR,Ganga Basin,Chambal Lower,CWC,01-06-1989 00:00,NULL,NULL,NULL,0,NULL,19.42,171.5,NULL,0.06,NULL,NULL,9.3,28.6,NULL,NULL,NULL,35.86,NULL,23.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.02,NULL,NULL,775,NULL,0.57,NULL,0.02,NULL,122.13,161.65,NULL,3.13,12.15,NULL,72.91,55.85,0,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.81,NULL,NULL,1,2.88,NULL,71.5,12,NULL,61.92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
003-LYDAGRa,DHOLPUR,Surface Water,Rajasthan,DHOLPUR,DHOLPUR,Ganga Basin,Chambal Lower,CWC,01-05-1989 00:00,NULL,NULL,NULL,0,NULL,15.19,159,NULL,0.17,NULL,NULL,4.4,34.2,NULL,NULL,NULL,40.12,NULL,18.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.01,NULL,NULL,668,NULL,0,NULL,0.02,NULL,147.26,156.77,NULL,3.13,14.82,NULL,42.09,37.85,0,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.99,NULL,NULL,0.25,1.51,NULL,85.5,8.7,NULL,55.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
003-LYDAGRa,DHOLPUR,Surface Water,Rajasthan,DHOLPUR,DHOLPUR,Ganga Basin,Chambal Lower,CWC,01-04-1989 00:00,NULL,NULL,NULL,0,NULL,18.18,142,NULL,0.2,NULL,NULL,3.5,32.8,NULL,NULL,NULL,31.95,NULL,21.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.09,NULL,NULL,602,NULL,0,NULL,0,NULL,129.08,128.71,NULL,3.13,11.3,NULL,51.98,46.07,0,NULL,NULL,0.0138,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.9,NULL,NULL,0.27,2,NULL,82,7.8,NULL,35.04,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.01,NULL,NULL,NULL,NULL
003-LYDAGRa,DHOLPUR,Surface Water,Rajasthan,DHOLPUR,DHOLPUR,Ganga Basin,Chambal Lower,CWC,01-03-1989 00:00,NULL,NULL,NULL,0,NULL,27.39,137.5,NULL,0.468,NULL,NULL,NULL,39,NULL,NULL,NULL,28.045,NULL,33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,582,NULL,0,NULL,0.0558,NULL,170.4,100.65,NULL,3.128,17.496,NULL,46,36.6001,0,NULL,NULL,0.08386,0.07006,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.7,NULL,NULL,0,1.53778,NULL,97.5,3.3,NULL,48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0138,NULL,NULL,NULL,NULL
003-LYDAGRa,DHOLPUR,Surface Water,Rajasthan,DHOLPUR,DHOLPUR,Ganga Basin,Chambal Lower,CWC,01-03-1989 00:00,NULL,NULL,NULL,0,NULL,22.91,174,NULL,0.47,NULL,NULL,3.5,54.2,NULL,NULL,NULL,29.82,NULL,27.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.13,NULL,NULL,589,NULL,0.19,NULL,0.02,NULL,204.35,156.16,NULL,3.13,16.52,NULL,46.92,33,0,NULL,NULL,0.139908,0.13,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.74,NULL,NULL,0,1.43,NULL,0,3.9,NULL,55.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.01,NULL,NULL,NULL,NULL
003-LYDAGRa,DHOLPUR,Surface Water,Rajasthan,DHOLPUR,DHOLPUR,Ganga Basin,Chambal Lower,CWC,01-02-1989 00:00,NULL,NULL,NULL,0,NULL,13.695,183,NULL,0.0324,NULL,NULL,NULL,52.6,NULL,NULL,NULL,29.82,NULL,16.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,550,NULL,0.38,NULL,0,NULL,208.45,189.71,NULL,1.564,18.468,NULL,37.03,27.7929,0,NULL,NULL,0.0138,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.8,NULL,NULL,0,1.11889,NULL,131.5,8.7,NULL,55.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0138,NULL,NULL,NULL,NULL
003-LYDAGRa,DHOLPUR,Surface Water,Rajasthan,DHOLPUR,DHOLPUR,Ganga Basin,Chambal Lower,CWC,01-02-1989 00:00,NULL,NULL,NULL,0,NULL,22.91,179,NULL,0.04,NULL,NULL,3.6,57.6,NULL,NULL,NULL,31.95,NULL,27.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.45,NULL,NULL,548,NULL,0.57,NULL,0,NULL,212.85,162.26,NULL,1.96,16.52,NULL,37.03,27.32,0,NULL,NULL,0.0138,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.72,NULL,NULL,0,1.11,NULL,0,8.5,NULL,55.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.01,NULL,NULL,NULL,NULL
003-LYDAGRa,DHOLPUR,Surface Water,Rajasthan,DHOLPUR,DHOLPUR,Ganga Basin,Chambal Lower,CWC,02-01-1989 00:00,NULL,NULL,NULL,0,NULL,9.213,188,NULL,0.0396,NULL,NULL,NULL,44,NULL,NULL,NULL,29.82,NULL,11.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,510,NULL,0.38,NULL,0,NULL,165.688,206.79,NULL,3.128,13.365,NULL,48.99,38.6984,0,NULL,NULL,0.139908,0.126108,NULL,0.020668,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.7,NULL,NULL,0.463954,1.66005,NULL,110,7.2,NULL,49.92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0138,NULL,NULL,NULL,NULL
003-LYDAGRa,DHOLPUR,Surface Water,Rajasthan,DHOLPUR,DHOLPUR,Ganga Basin,Chambal Lower,CWC,02-01-1989 00:00,NULL,NULL,NULL,0,NULL,13.7,192.5,NULL,0.03,NULL,NULL,2.3,45.8,NULL,NULL,NULL,29.82,NULL,16.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.94,NULL,NULL,512,NULL,0.38,NULL,0,NULL,200.06,201.3,NULL,3.13,20.53,NULL,48.99,34.45,0,NULL,NULL,0.139908,0.13,NULL,0.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.74,NULL,NULL,0,1.51,NULL,0,6.8,NULL,49.92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.01,NULL,NULL,NULL,NULL
