station_code,station_name,station_type,state_name,district_name,block_name,basin_name,sub_basin_name,agency_name,date_collection,_24d,_401,SILVER(mg/L),ALUMINIUM,ALDRIN,"ALKALINITY,PHENOLPHTHALEIN(mg/L)",TOTAL ALKALINITY,ARSENIC(mg/l),BORON(mg/L),BARIUM,GAMMA-BHC(BENZENE HEXACHLORIDE),BIOCHEMICAL OXYGEN DEMAND(mg/L),CALCIUM(mg/L),CARBON(14),CADMIUM,CHLOROPHY11-a,CHLORIDE,CYANIDE,CARBONATE(mg/L),FECAL STREPTOCOCCI(MPN/100ml),CHEMICAL OXYGEN DEMAND,COLOUR,CHROMIUM(mg/L),COPPER,DDT,DIELDRIN,DISSOLVED OXYGEN(mg/L),DISSOLVED OXYGEN(mg/L),ALKALINITY(TOTAL),DISSOLVED OXYGEN SATURATION(%),ELECTRICAL CINDUCTIVITY FIELD,ELECTRICAL CONDUCTIVITY(µS/CM) at 25°,ENDOSULPHAN,FLUORIDE,FECAL COLIFORMS(mpn/100ml),IRON(mg/L),CALCIUM HARDNESS(mg/L),TOTAL HARDNESS(mg/L),BICARBONATE(mg/L),MERCURY(mg/L),POTASSIUM(mg/L),MAGNESIUM(mg/L),MANGANESE(mg/L),SODIUM,PERCENT SODIUM,AMMONIA-N(mg/L),NICKEL(mg/L),"NITROGEN,NITRITE","NITROGEN, TOTAL OXIDISED(NO2+NO3)",no3_n,ODOUR,o_po4_p,"NITROGEN,ORGANIC",OXYGEN(18),FLUORANTHENE,LEAD(mg/L),PCB-1242,PH,TOTAL PHENOLS,PH_FIELD,PH,PHOSPHORUS(TOTAL),RADON,RESIDUAL SODIUM CARBONATE,SODIUM ABSORPTION RATIO,SELENIUM(mg/L),SECCHI DEPTH,SILICATE(sio2)(mg/L),SILICATE(sio3),SULPHATE(mg/L),"SOLIDS,SUSPENDED",STRONTIUM,TOTAL COLIFORNS(MPN/100ml),TOTAL DISSOLVED SOLIDS(mg/L),TEMPERATURE,TEST,TOTAL ORGANIC CARBON,TRITIUM,SOLIDS(TOTAL),TURBIDITY(NTU),URANIUM,ZINC(mg/L),"NITROGEN,NITRITE",CALCIUM CARBONATE,MAGNESIUM CARBONATE,BIOCHEMICAL OXYGEN DEAMND,MAGNESIUM HARDNESS
001-SWRDKOCHI,ERINJIPUZHA,Surface Water,Kerala,KASARAGOD,KASARAGOD,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,CWC,01-08-2001 00:00,NULL,NULL,NULL,NULL,NULL,0,14,NULL,NULL,NULL,NULL,NULL,4.4,NULL,NULL,NULL,7.6,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.45,NULL,NULL,86.9312,NULL,40,NULL,NULL,NULL,NULL,NULL,16,17.08,NULL,0.7,1.215,NULL,2.6,25.1007,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.12,0.023,NULL,0,0.282928,NULL,11,9.16,NULL,2,NULL,NULL,NULL,NULL,23.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001-SWRDKOCHI,ERINJIPUZHA,Surface Water,Kerala,KASARAGOD,KASARAGOD,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,CWC,01-09-2001 00:00,NULL,NULL,NULL,NULL,NULL,0,16,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,8.6,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,96.9051,NULL,45,NULL,NULL,NULL,NULL,NULL,18,19.52,NULL,0.6,1.944,NULL,3.2,27.0736,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.56,0.0215,NULL,0,0.328267,NULL,10,8.02,NULL,2.4,NULL,NULL,NULL,NULL,25.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001-SWRDKOCHI,ERINJIPUZHA,Surface Water,Kerala,KASARAGOD,KASARAGOD,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,CWC,01-11-2001 00:00,NULL,NULL,NULL,NULL,NULL,0,16,NULL,0.01,NULL,NULL,NULL,4,NULL,NULL,NULL,9.94,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.58,NULL,NULL,109.621,NULL,32,NULL,NULL,NULL,NULL,NULL,24,19.52,NULL,0.7,3.402,NULL,4,25.9123,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.4,0.0125,NULL,0,0.355318,NULL,10,9.98,NULL,1,NULL,NULL,NULL,NULL,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001-SWRDKOCHI,ERINJIPUZHA,Surface Water,Kerala,KASARAGOD,KASARAGOD,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,CWC,01-12-2001 00:00,NULL,NULL,NULL,NULL,NULL,0,18,NULL,0.03,NULL,NULL,NULL,6.4,NULL,NULL,NULL,8.52,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.24,NULL,NULL,76.9824,NULL,47,NULL,NULL,NULL,NULL,NULL,22,21.96,NULL,0.7,1.458,NULL,3.7,26.0333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.72,0.0198,NULL,0,0.343374,NULL,16,8.65,NULL,1,NULL,NULL,NULL,NULL,26.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001-SWRDKOCHI,ERINJIPUZHA,Surface Water,Kerala,KASARAGOD,KASARAGOD,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,CWC,01-01-2002 00:00,NULL,NULL,NULL,NULL,NULL,0,20,NULL,0.01,NULL,NULL,NULL,5.6,NULL,NULL,NULL,9.2,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.53,NULL,NULL,80.5601,NULL,55,NULL,NULL,NULL,NULL,NULL,28,24.4,NULL,0.8,3.402,NULL,3.5,20.7948,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.71,0.03,NULL,0,0.287861,NULL,14,7.4,NULL,1,NULL,NULL,NULL,NULL,26.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001-SWRDKOCHI,ERINJIPUZHA,Surface Water,Kerala,KASARAGOD,KASARAGOD,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,CWC,01-02-2002 00:00,NULL,NULL,NULL,NULL,NULL,0,22,NULL,0.02,NULL,NULL,NULL,4.8,NULL,NULL,NULL,10.4,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.26,NULL,NULL,78.5643,NULL,56,NULL,NULL,NULL,NULL,NULL,20,26.84,NULL,0.9,1.944,NULL,4.2,30.1856,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.49,0.07,NULL,0.0404303,0.408756,NULL,12,8.2,NULL,1,NULL,NULL,NULL,NULL,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001-SWRDKOCHI,ERINJIPUZHA,Surface Water,Kerala,KASARAGOD,KASARAGOD,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,CWC,01-03-2002 00:00,NULL,NULL,NULL,NULL,NULL,0,24,NULL,0.04,NULL,NULL,NULL,4.8,NULL,NULL,NULL,7.01,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.96,NULL,NULL,89.0003,NULL,60,NULL,NULL,NULL,NULL,NULL,22,29.28,NULL,0.9,2.43,NULL,5.6,34.497,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.35,0.03,NULL,0.0404333,0.519621,NULL,12,8.5,NULL,1,NULL,NULL,NULL,NULL,28.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001-SWRDKOCHI,ERINJIPUZHA,Surface Water,Kerala,KASARAGOD,KASARAGOD,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,CWC,01-06-2004 00:00,NULL,NULL,NULL,NULL,NULL,0,11,NULL,0.02,NULL,NULL,0.6,4.8,NULL,NULL,NULL,6,NULL,6.82528,NULL,4,NULL,NULL,NULL,NULL,NULL,6.8,NULL,NULL,80.7793,NULL,42,NULL,0.052,NULL,NULL,NULL,16,10.9899,NULL,1.2,0.972,NULL,3.2,28.4407,NULL,NULL,NULL,0.27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.82,NULL,NULL,0.0881197,0.348237,NULL,12,5.4,NULL,4.6,NULL,NULL,NULL,48,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001-SWRDKOCHI,ERINJIPUZHA,Surface Water,Kerala,KASARAGOD,KASARAGOD,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,CWC,01-08-2011 00:00,NULL,NULL,NULL,NULL,NULL,0,14.0164,NULL,NULL,NULL,NULL,0.2,4.8,NULL,NULL,NULL,6.5,NULL,0,NULL,1.2,NULL,NULL,NULL,NULL,NULL,7.4,NULL,NULL,91.2116,NULL,43,NULL,0.102,NULL,0.09,NULL,18.0833,17.1,NULL,0.6,1.46,NULL,3.4,28.2818,0.028,NULL,NULL,0.178,0.169,NULL,0.015,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.98,6.5,NULL,NULL,0,0.348737,NULL,12,12,NULL,0.6,NULL,NULL,NULL,28,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.009,NULL,NULL,NULL,NULL
001-SWRDKOCHI,ERINJIPUZHA,Surface Water,Kerala,KASARAGOD,KASARAGOD,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,CWC,01-12-2011 00:00,NULL,NULL,NULL,NULL,NULL,0,18.0328,NULL,0.15,NULL,NULL,0.8,4.8,NULL,NULL,NULL,5.7,NULL,0,NULL,5.6,NULL,NULL,NULL,NULL,NULL,7.2,NULL,NULL,88.8258,NULL,47,NULL,0.152,1600,0.53,NULL,20.3333,22,NULL,0.8,2,NULL,3.3,25.266,0.013,NULL,NULL,NULL,1.49,NULL,0.37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.7,NULL,NULL,0,0.319329,NULL,12,17.4,NULL,1.1,NULL,NULL,1600,27,26.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
