station_code,station_name,station_type,state_name,district_name,block_name,basin_name,sub_basin_name,agency_name,date_collection,_24d,_401,SILVER(mg/L),ALUMINIUM,ALDRIN,"ALKALINITY,PHENOLPHTHALEIN(mg/L)",TOTAL ALKALINITY,ARSENIC(mg/l),BORON(mg/L),BARIUM,GAMMA-BHC(BENZENE HEXACHLORIDE),BIOCHEMICAL OXYGEN DEMAND(mg/L),CALCIUM(mg/L),CARBON(14),CADMIUM,CHLOROPHY11-a,CHLORIDE,CYANIDE,CARBONATE(mg/L),FECAL STREPTOCOCCI(MPN/100ml),CHEMICAL OXYGEN DEMAND,COLOUR,CHROMIUM(mg/L),COPPER,DDT,DIELDRIN,DISSOLVED OXYGEN(mg/L),DISSOLVED OXYGEN(mg/L),ALKALINITY(TOTAL),DISSOLVED OXYGEN SATURATION(%),ELECTRICAL CINDUCTIVITY FIELD,ELECTRICAL CONDUCTIVITY(µS/CM) at 25°,ENDOSULPHAN,FLUORIDE,FECAL COLIFORMS(mpn/100ml),IRON(mg/L),CALCIUM HARDNESS(mg/L),TOTAL HARDNESS(mg/L),BICARBONATE(mg/L),MERCURY(mg/L),POTASSIUM(mg/L),MAGNESIUM(mg/L),MANGANESE(mg/L),SODIUM,PERCENT SODIUM,AMMONIA-N(mg/L),NICKEL(mg/L),"NITROGEN,NITRITE","NITROGEN, TOTAL OXIDISED(NO2+NO3)",no3_n,ODOUR,o_po4_p,"NITROGEN,ORGANIC",OXYGEN(18),FLUORANTHENE,LEAD(mg/L),PCB-1242,PH,TOTAL PHENOLS,PH_FIELD,PH,PHOSPHORUS(TOTAL),RADON,RESIDUAL SODIUM CARBONATE,SODIUM ABSORPTION RATIO,SELENIUM(mg/L),SECCHI DEPTH,SILICATE(sio2)(mg/L),SILICATE(sio3),SULPHATE(mg/L),"SOLIDS,SUSPENDED",STRONTIUM,TOTAL COLIFORNS(MPN/100ml),TOTAL DISSOLVED SOLIDS(mg/L),TEMPERATURE,TEST,TOTAL ORGANIC CARBON,TRITIUM,SOLIDS(TOTAL),TURBIDITY(NTU),URANIUM,ZINC(mg/L),"NITROGEN,NITRITE",CALCIUM CARBONATE,MAGNESIUM CARBONATE,BIOCHEMICAL OXYGEN DEAMND,MAGNESIUM HARDNESS
001-UYDDEL,Naugaon,Surface Water,Uttarakhand,Uttarkashi,RAJGARHI,Ganga Basin,Yamuna Upper,CWC,12-07-2021 00:00,NULL,NULL,NULL,NULL,NULL,0,30,NULL,NULL,NULL,NULL,NULL,13.96,NULL,NULL,NULL,9.77,NULL,0,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,101,101,NULL,0.34,NULL,NULL,NULL,NULL,36,NULL,1.84,2.14,NULL,7.84,NULL,0.05,NULL,NULL,2.14,2.14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.55,7.55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11.48,0,NULL,NULL,63.81,13.5,NULL,NULL,NULL,NULL,13.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001-UYDDEL,Naugaon,Surface Water,Uttarakhand,Uttarkashi,RAJGARHI,Ganga Basin,Yamuna Upper,CWC,01-07-2021 00:00,NULL,NULL,NULL,NULL,NULL,0,47.5,NULL,NULL,NULL,NULL,NULL,19.22,NULL,NULL,NULL,7.29,NULL,0,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,121,121,NULL,0.28,NULL,NULL,NULL,NULL,57,NULL,1.64,3.08,NULL,5.81,NULL,0.04,NULL,NULL,2.36,2.36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.2,8.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9.27,0,NULL,NULL,76,13.5,NULL,NULL,NULL,NULL,10.74,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001-UYDDEL,Naugaon,Surface Water,Uttarakhand,Uttarkashi,RAJGARHI,Ganga Basin,Yamuna Upper,CWC,21-06-2021 00:00,NULL,NULL,NULL,NULL,NULL,0,31.7,NULL,NULL,NULL,NULL,NULL,13.05,NULL,NULL,NULL,6.02,NULL,0,NULL,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,88.63,88.63,NULL,0.21,NULL,NULL,NULL,NULL,38,NULL,1.47,1.89,NULL,4.84,NULL,0.01,NULL,NULL,2.28,2.28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.94,7.94,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.74,0,NULL,NULL,56,12,NULL,NULL,NULL,NULL,5.68,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001-UYDDEL,Naugaon,Surface Water,Uttarakhand,Uttarkashi,RAJGARHI,Ganga Basin,Yamuna Upper,CWC,14-06-2021 00:00,NULL,NULL,NULL,NULL,NULL,0,30.8,NULL,NULL,NULL,NULL,NULL,12.68,NULL,NULL,NULL,9.21,NULL,0,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85.5,NULL,0.18,NULL,NULL,NULL,NULL,37,NULL,1.63,1.78,NULL,7.28,NULL,0.03,NULL,NULL,2.37,2.37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.87,7.87,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.24,0,NULL,NULL,54,13.5,NULL,NULL,NULL,NULL,7.19,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001-UYDDEL,Naugaon,Surface Water,Uttarakhand,Uttarkashi,RAJGARHI,Ganga Basin,Yamuna Upper,CWC,01-06-2021 00:00,NULL,NULL,NULL,NULL,NULL,0,41.7,NULL,NULL,NULL,NULL,NULL,17.86,NULL,NULL,NULL,6.36,NULL,0,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,108.8,108.8,NULL,0.19,NULL,NULL,NULL,NULL,50,NULL,1.81,2.13,NULL,5.02,NULL,0.03,NULL,NULL,2.25,2.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.93,7.93,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.6,0,NULL,NULL,69,11.5,NULL,NULL,NULL,NULL,8.27,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001-UYDDEL,Naugaon,Surface Water,Uttarakhand,Uttarkashi,RAJGARHI,Ganga Basin,Yamuna Upper,CWC,21-05-2021 00:00,NULL,NULL,NULL,NULL,NULL,0,67.5,NULL,NULL,NULL,NULL,0,18.5,NULL,NULL,NULL,9.38,NULL,0,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,111.3,111.3,NULL,0.21,NULL,NULL,NULL,NULL,81,NULL,2.28,7.68,NULL,7.58,NULL,0.19,NULL,NULL,0.34,0.34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.9,7.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9.56,0,NULL,NULL,70,10,NULL,NULL,NULL,NULL,5.63,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001-UYDDEL,Naugaon,Surface Water,Uttarakhand,Uttarkashi,RAJGARHI,Ganga Basin,Yamuna Upper,CWC,03-05-2021 00:00,NULL,NULL,NULL,NULL,NULL,0,66.7,NULL,0.12,NULL,NULL,NULL,20.34,NULL,NULL,NULL,6.3,NULL,0,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,136.8,136.8,NULL,0.24,NULL,NULL,NULL,NULL,80,NULL,1.12,7.66,NULL,5.08,NULL,0.12,NULL,0.01,0.33,0.32,NULL,0.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.98,7.98,0.6,NULL,NULL,NULL,NULL,NULL,3.79,NULL,12.56,0,NULL,NULL,86,10,NULL,NULL,NULL,NULL,3.85,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001-UYDDEL,Naugaon,Surface Water,Uttarakhand,Uttarkashi,RAJGARHI,Ganga Basin,Yamuna Upper,CWC,06-04-2021 00:00,NULL,NULL,NULL,NULL,NULL,18.2,61.3,NULL,0.13,NULL,NULL,NULL,26.49,NULL,NULL,NULL,8.38,NULL,21.8,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,244,244,NULL,0.29,NULL,NULL,NULL,NULL,30,NULL,1.22,5.03,NULL,6.74,NULL,0.14,NULL,0,1,1,NULL,0.54,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.79,8.79,NULL,NULL,NULL,NULL,NULL,NULL,3.38,NULL,24.16,0,NULL,NULL,154,9.5,NULL,NULL,NULL,NULL,5.92,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001-UYDDEL,Naugaon,Surface Water,Uttarakhand,Uttarkashi,RAJGARHI,Ganga Basin,Yamuna Upper,CWC,09-11-2020 00:00,NULL,NULL,NULL,NULL,NULL,0,40.8,NULL,0.04,NULL,NULL,0,20.92,NULL,NULL,NULL,9.34,NULL,0,NULL,6,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,175,175,NULL,0.36,NULL,NULL,NULL,NULL,49,NULL,1.55,4.7,NULL,7.23,NULL,1.26,NULL,0.01,0,0,NULL,0.02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.97,7.97,NULL,NULL,NULL,NULL,NULL,NULL,4.48,NULL,28.2,0,NULL,NULL,110,8,NULL,NULL,NULL,NULL,1.82,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001-UYDDEL,Naugaon,Surface Water,Uttarakhand,Uttarkashi,RAJGARHI,Ganga Basin,Yamuna Upper,CWC,01-03-2021 00:00,NULL,NULL,NULL,NULL,NULL,16.9,77.7,NULL,0.14,NULL,NULL,0,28.01,NULL,NULL,NULL,5.25,NULL,20.3,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,191.1,191.1,NULL,0.26,NULL,NULL,NULL,NULL,52.6,NULL,1.81,6.92,NULL,4.16,NULL,0.24,NULL,0.24,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.33,8.33,NULL,NULL,NULL,NULL,NULL,NULL,3.94,NULL,17.44,0,NULL,NULL,120,7,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL
